stock_id,tag_id,score_level,confidence_level,source,evidence_text,start_date,end_date,updated_by,updated_at
1101,cement,related,medium,official_sector,官方產業分類: 水泥工業,2026-04-13T01:06:56.534581,,system,2026-04-13T01:20:12.243019
1101,energy_storage,core,high,official_business,業務描述匹配: 儲能,2026-04-13T01:20:12.243019,,system,2026-04-13T01:20:12.243019
1102,cement,related,medium,official_sector,官方產業分類: 水泥工業,2026-04-13T01:06:56.534581,,system,2026-04-13T01:20:12.243019
1103,cement,related,medium,official_sector,官方產業分類: 水泥工業,2026-04-13T01:06:56.534581,,system,2026-04-13T01:20:12.243019
1104,cement,related,medium,official_sector,官方產業分類: 水泥工業,2026-04-13T01:06:56.534581,,system,2026-04-13T01:20:12.243019
1108,cement,related,medium,official_sector,官方產業分類: 水泥工業,2026-04-13T01:06:56.534581,,system,2026-04-13T01:20:12.243019
1109,cement,related,medium,official_sector,官方產業分類: 水泥工業,2026-04-13T01:06:56.534581,,system,2026-04-13T01:20:12.243019
1110,cement,related,medium,official_sector,官方產業分類: 水泥工業,2026-04-13T01:06:56.534581,,system,2026-04-13T01:20:12.243019
1201,food_industry,related,medium,official_sector,官方產業分類: 食品工業,2026-04-13T01:06:56.534581,,system,2026-04-13T01:20:12.243019
1203,food_industry,related,medium,official_sector,官方產業分類: 食品工業,2026-04-13T01:06:56.534581,,system,2026-04-13T01:20:12.243019
1210,food_industry,related,medium,official_sector,官方產業分類: 食品工業,2026-04-13T01:06:56.534581,,system,2026-04-13T01:20:12.243019
1213,food_industry,related,medium,official_sector,官方產業分類: 食品工業,2026-04-13T01:06:56.534581,,system,2026-04-13T01:20:12.243019
1215,food_industry,related,medium,official_sector,官方產業分類: 食品工業,2026-04-13T01:06:56.534581,,system,2026-04-13T01:20:12.243019
1216,food_industry,related,medium,official_sector,官方產業分類: 食品工業,2026-04-13T01:06:56.534581,,system,2026-04-13T01:20:12.243019
1217,food_industry,related,medium,official_sector,官方產業分類: 食品工業,2026-04-13T01:06:56.534581,,system,2026-04-13T01:20:12.243019
